question,True/False,ActualAnswer,Language
Victory Monument a-t-il été créé par Zourab Tsereteli?,True,Zourab Tsereteli,FR
Victory Monument a-t-il été achevé en 1995?,True,1995,FR
Monument to Saints Cyril and Methodius a-t-il été créé par Vyacheslav Klykov?,True,Vyacheslav Klykov,FR
Monument to Saints Cyril and Methodius a-t-il été achevé en 1905?,False,1992,FR
monument à Giuseppe Garibaldi a-t-il été créé par Arnaldo Zocchi?,True,Arnaldo Zocchi,FR
monument à Giuseppe Garibaldi a-t-il été achevé en 1891?,False,1950,FR
Horse Rider Memorial a-t-il été créé par Willibald Fritsch?,True,Willibald Fritsch,FR
Horse Rider Memorial a-t-il été achevé en 1940?,False,1925,FR
Statue of Saint Volodymyr a-t-il été créé par Leo Mol?,True,Leo Mol,FR
Statue of Saint Volodymyr a-t-il été achevé en 1988?,True,1988,FR
Ladislao di Durazzo's tomb a-t-il été créé par Fernand Léger?,False,Andrea Guardi,FR
Ladislao di Durazzo's tomb a-t-il été achevé en 1896?,False,1414,FR
monument à Alessandro Manzoni a-t-il été créé par Francesco Confalonieri?,True,Francesco Confalonieri,FR
monument à Alessandro Manzoni a-t-il été achevé en 1891?,True,1891,FR
aiguille de Waterloo a-t-il été créé par Abraham van der Hart?,True,Abraham van der Hart,FR
aiguille de Waterloo a-t-il été achevé en 1815?,True,1815,FR
monument aux morts du 8 août 1848 a-t-il été créé par Roman Podrázský?,False,Pasquale Rizzoli,FR
monument aux morts du 8 août 1848 a-t-il été achevé en 1903?,True,1903,FR
monument au Partisan a-t-il été créé par Mansudae Overseas Projects?,False,Marino Mazzacurati,FR
monument au Partisan a-t-il été achevé en 1954?,True,1954,FR
Adam Mickiewicz Monument in Przemyśl a-t-il été créé par Tomasz Dykas?,True,Tomasz Dykas,FR
Adam Mickiewicz Monument in Przemyśl a-t-il été achevé en 1898?,True,1898,FR
Monument to Peter I in Tula a-t-il été créé par Ladislav Šaloun?,False,Robert Bach,FR
Monument to Peter I in Tula a-t-il été achevé en 1897?,False,1912,FR
Sculpture d'Artyomka a-t-il été créé par David Begalov?,True,David Begalov,FR
Sculpture d'Artyomka a-t-il été achevé en 1822?,False,2010,FR
Rimsky-Korsakov Monument a-t-il été créé par Vladimir Ingal?,True,Vladimir Ingal,FR
Rimsky-Korsakov Monument a-t-il été achevé en 1952?,True,1952,FR
Monument to Mykola Shchors in Kyiv a-t-il été créé par Vassyl Borodaï?,True,Vassyl Borodaï,FR
Monument to Mykola Shchors in Kyiv a-t-il été achevé en 1874?,False,1954,FR
Monument to Mirza Alakbar Sabir a-t-il été créé par Jalal Garyaghdi?,True,Jalal Garyaghdi,FR
Monument to Mirza Alakbar Sabir a-t-il été achevé en 1958?,True,1958,FR
Monument à Sergueï Korolev et Youri Gagarine a-t-il été créé par Ernst Neïzvestny?,False,Oleg Konstantinovitch Komov,FR
Monument à Sergueï Korolev et Youri Gagarine a-t-il été achevé en 1975?,True,1975,FR
"Victory monument, Veliky Novgorod a-t-il été créé par Wladimir de Vries?",False,Gueorgui Neroda,FR
"Victory monument, Veliky Novgorod a-t-il été achevé en 1958?",False,1974,FR
Lenine à Ulan-Ude a-t-il été créé par Gueorgui Neroda?,True,Gueorgui Neroda,FR
Lenine à Ulan-Ude a-t-il été achevé en 1880?,False,1971,FR
Chekhov Monument a-t-il été créé par Paul E. M. DuBoy?,False,Ioulian Roukavichnikov,FR
Chekhov Monument a-t-il été achevé en 2003?,False,1960,FR
Monument to Oka Gorodovikov a-t-il été créé par Francesco da Sangallo?,False,Nikita Sandzhiyev,FR
Monument to Oka Gorodovikov a-t-il été achevé en 1955?,False,1976,FR
Statue of Volodymyr Vernadsky a-t-il été créé par Charles Grafly?,False,Alexander Pavlovich Skoblikov,FR
Statue of Volodymyr Vernadsky a-t-il été achevé en 1965?,False,1981,FR
"Statue of Valeriy Lobanovskyi at Mykhaila Hrushevskoho Street, Kyiv a-t-il été créé par Kārlis Zāle?",False,Vladimir Aleksandrovitsj Filatov,FR
"Statue of Valeriy Lobanovskyi at Mykhaila Hrushevskoho Street, Kyiv a-t-il été achevé en 2003?",True,2003,FR
Isaac Babel monument a-t-il été créé par Georgy Frangulyan?,True,Georgy Frangulyan,FR
Isaac Babel monument a-t-il été achevé en 1987?,False,2011,FR
monument to Peter the Great in Petrozavodsk a-t-il été créé par Khachatur Iskandaryan?,False,Ivan Nikolaevich Schröder,FR
monument to Peter the Great in Petrozavodsk a-t-il été achevé en 1873?,True,1873,FR
Nelson Monument a-t-il été créé par Edmund Gomansky?,False,Richard Westmacott,FR
Nelson Monument a-t-il été achevé en 1970?,False,1813,FR
Monument to Latvian Riflemen a-t-il été créé par Jean G. Villin?,False,Valdis Albergas,FR
Monument to Latvian Riflemen a-t-il été achevé en 1927?,False,1971,FR
Obelisk Severa a-t-il été créé par Juan Cristóbal González?,False,Iov Kornilovitsj Altoechov,FR
Obelisk Severa a-t-il été achevé en 2000?,False,1930,FR
Cross of Sorrow a-t-il été créé par Leo Lankinen?,True,Leo Lankinen,FR
Cross of Sorrow a-t-il été achevé en 1920?,False,2000,FR
Monumento nazionale ai caduti per la bonifica dei campi minati a-t-il été créé par Angelo Biancini?,True,Angelo Biancini,FR
Monumento nazionale ai caduti per la bonifica dei campi minati a-t-il été achevé en 1991?,False,1984,FR
The Twelve Chairs monument in Odesa a-t-il été créé par Mikhaïl Reva?,True,Mikhaïl Reva,FR
The Twelve Chairs monument in Odesa a-t-il été achevé en 1947?,False,1999,FR
monument à Canapone a-t-il été créé par Luigi Magi?,True,Luigi Magi,FR
monument à Canapone a-t-il été achevé en 1956?,False,1846,FR
Monument to Artyom in Donetsk a-t-il été créé par Edhi Sunarso?,False,Vladimir Kostin,FR
Monument to Artyom in Donetsk a-t-il été achevé en 1948?,False,1967,FR
Statue of Pushkin a-t-il été créé par Hans Arnold?,False,Alexandre Opekouchine,FR
Statue of Pushkin a-t-il été achevé en 1880?,True,1880,FR
tombe Brion a-t-il été créé par Buster Simpson?,False,Carlo Scarpa,FR
tombe Brion a-t-il été achevé en 1978?,True,1978,FR
Tondi Boys a-t-il été créé par Thomas Ball?,False,Amandus Adamson,FR
Tondi Boys a-t-il été achevé en 1690?,False,2009,FR
Independence Monument a-t-il été créé par Muntaz Dhrami?,True,Muntaz Dhrami,FR
Independence Monument a-t-il été achevé en 1700?,False,1972,FR
Hirschtor a-t-il été créé par Sean Hedges-Quinn?,False,Christian Daniel Rauch,FR
Hirschtor a-t-il été achevé en -130?,False,1826,FR
Den tapre Landsoldat a-t-il été créé par Melinda Garcia?,False,Herman Wilhelm Bissen,FR
Den tapre Landsoldat a-t-il été achevé en 1858?,True,1858,FR
Heroes' Acre a-t-il été créé par Ernst Neïzvestny?,False,Mansudae Overseas Projects,FR
Heroes' Acre a-t-il été achevé en 1891?,False,2002,FR
Three Dikgosi Monument a-t-il été créé par Mansudae Overseas Projects?,True,Mansudae Overseas Projects,FR
Three Dikgosi Monument a-t-il été achevé en 2005?,True,2005,FR
Monument to Duque de Caxias a-t-il été créé par Emmanuel Frémiet?,False,Victor Brecheret,FR
Monument to Duque de Caxias a-t-il été achevé en 1960?,True,1960,FR
Taras Shevchenko monument in Buenos Aires a-t-il été créé par Leo Mol?,True,Leo Mol,FR
Taras Shevchenko monument in Buenos Aires a-t-il été achevé en 1912?,False,1971,FR
Monument to Ramos de Azevedo a-t-il été créé par Francis John Williamson?,False,Galileo Emendabili,FR
Monument to Ramos de Azevedo a-t-il été achevé en -255?,False,1934,FR
Buste de Pouchkine à Kiev a-t-il été créé par Robert Bach?,True,Robert Bach,FR
Buste de Pouchkine à Kiev a-t-il été achevé en 1918?,False,1899,FR
monument à la Grande Révolution d'Octobre a-t-il été créé par Vassyl Borodaï?,True,Vassyl Borodaï,FR
monument à la Grande Révolution d'Octobre a-t-il été achevé en 1821?,False,1977,FR
Monument to Petro Zaporozhets in Bila Tserkva a-t-il été créé par Johann Baptist Scholl?,False,Ivan Kavaléridzé,FR
Monument to Petro Zaporozhets in Bila Tserkva a-t-il été achevé en 1971?,True,1971,FR
Statue of Taras Shevchenko in Poltava a-t-il été créé par Ivan Kavaléridzé?,True,Ivan Kavaléridzé,FR
Statue of Taras Shevchenko in Poltava a-t-il été achevé en 1926?,True,1926,FR
Fyodor Kon monument in Smolensk a-t-il été créé par Johannes Peschel?,False,Oleg Konstantinovitch Komov,FR
Fyodor Kon monument in Smolensk a-t-il été achevé en 1975?,False,1991,FR
Chapayev monument a-t-il été créé par Matveï Maniser?,True,Matveï Maniser,FR
Chapayev monument a-t-il été achevé en 1848?,False,1933,FR
The Monument of Shevchenko a-t-il été créé par Liss Eriksson?,False,Matveï Maniser,FR
The Monument of Shevchenko a-t-il été achevé en 1826?,False,1935,FR
"Statue of Lenin, House of Government, Minsk a-t-il été créé par Matveï Maniser?",True,Matveï Maniser,FR
"Statue of Lenin, House of Government, Minsk a-t-il été achevé en 1933?",True,1933,FR
Bulat Okudzhava Monument a-t-il été créé par Georgy Frangulyan?,True,Georgy Frangulyan,FR
Bulat Okudzhava Monument a-t-il été achevé en 1813?,False,2002,FR
Memorial Mound a-t-il été créé par Ferdinand Schlöth?,False,Anders Bundgaard,FR
Memorial Mound a-t-il été achevé en 1907?,False,1925,FR
Lake Sagami Country Club a-t-il été créé par Friedrich Drake?,False,Brian Clarke,FR
Lake Sagami Country Club a-t-il été achevé en 1995?,False,1989,FR
Jan Matejko Monument in Nowy Wiśnicz a-t-il été créé par Czesław Dźwigaj?,True,Czesław Dźwigaj,FR
Jan Matejko Monument in Nowy Wiśnicz a-t-il été achevé en 1993?,True,1993,FR
Major General John A. Logan a-t-il été créé par Ton Blommerde?,False,Franklin Simmons,FR
Major General John A. Logan a-t-il été achevé en 1912?,False,1901,FR
statue équestre du duc de Wellington a-t-il été créé par Bart van Hove?,False,Matthew Cotes Wyatt,FR
statue équestre du duc de Wellington a-t-il été achevé en 1846?,True,1846,FR
Bolesław III Wrymouth Monument in Płock a-t-il été créé par Zbigniew Mikielewicz?,True,Zbigniew Mikielewicz,FR
Bolesław III Wrymouth Monument in Płock a-t-il été achevé en 0780?,False,2012,FR
"Monument to Stefan Rowecki ""Grot"" a-t-il été créé par Wladimir de Vries?",False,Zbigniew Mikielewicz,FR
"Monument to Stefan Rowecki ""Grot"" a-t-il été achevé en 2005?",True,2005,FR
Dante Monument a-t-il été créé par Renato Della Rocca?,False,Angelo Biancini,FR
Dante Monument a-t-il été achevé en 1968?,True,1968,FR
Monument to the Defenders of Katowice a-t-il été créé par Ivan Misko?,False,Bogumił Burzyński,FR
Monument to the Defenders of Katowice a-t-il été achevé en 1913?,False,2000,FR
Sepulchral monument for Ewald Christian von Kleist a-t-il été créé par Josep Oriol Mestres?,False,Johann Gottfried Schadow,FR
Sepulchral monument for Ewald Christian von Kleist a-t-il été achevé en 1853?,False,1780,FR
fontaine Kranner a-t-il été créé par Aimé Millet?,False,Joseph Max,FR
fontaine Kranner a-t-il été achevé en 1951?,False,1850,FR
Rizal Monument a-t-il été créé par Richard Kissling?,True,Richard Kissling,FR
Rizal Monument a-t-il été achevé en 1201?,False,1908,FR
Grey's Monument a-t-il été créé par Edward Hodges Baily?,True,Edward Hodges Baily,FR
Grey's Monument a-t-il été achevé en 1834?,False,1838,FR
"Peel Memorial, Bury a-t-il été créé par Alexandre Falguière?",False,Edward Hodges Baily,FR
"Peel Memorial, Bury a-t-il été achevé en 1851?",True,1851,FR
The Great Warrior of Montauban a-t-il été créé par Antoine Bourdelle?,True,Antoine Bourdelle,FR
The Great Warrior of Montauban a-t-il été achevé en 2016?,False,1898,FR
Statue of Saint Wenceslas a-t-il été créé par Jan Bendl?,True,Jan Bendl,FR
Statue of Saint Wenceslas a-t-il été achevé en 1618?,True,1618,FR
École Champagne a-t-il été créé par Bernhard Luginbühl?,True,Bernhard Luginbühl,FR
École Champagne a-t-il été achevé en 1920?,False,1962,FR
Brigadier General Thaddeus Kosciuszko a-t-il été créé par Waldemar Grzimek?,False,Antoni Popiel,FR
Brigadier General Thaddeus Kosciuszko a-t-il été achevé en 1910?,True,1910,FR
Admiral David G. Farragut a-t-il été créé par Charles Cordier?,False,Vinnie Ream,FR
Admiral David G. Farragut a-t-il été achevé en 1433?,False,1881,FR
Monument to Christopher Columbus a-t-il été créé par Charles Cordier?,True,Charles Cordier,FR
Monument to Christopher Columbus a-t-il été achevé en -024?,False,1877,FR
mémorial Émancipation a-t-il été créé par Rolf Hochhuth?,False,Thomas Ball,FR
mémorial Émancipation a-t-il été achevé en 1876?,True,1876,FR
Lincoln Monument a-t-il été créé par John Rhind?,False,Augustus Saint-Gaudens,FR
Lincoln Monument a-t-il été achevé en 1843?,False,1887,FR
Monument to the soldiers of the 1st Polish Army a-t-il été créé par Xawery Dunikowski?,True,Xawery Dunikowski,FR
Monument to the soldiers of the 1st Polish Army a-t-il été achevé en 1963?,True,1963,FR
Memorial for Heinrich von Kleist a-t-il été créé par Gottlieb Elster?,True,Gottlieb Elster,FR
Memorial for Heinrich von Kleist a-t-il été achevé en 1936?,False,1910,FR
Monument to Emilio Castelar a-t-il été créé par Eduardo Barrón González?,True,Eduardo Barrón González,FR
Monument to Emilio Castelar a-t-il été achevé en 1905?,True,1905,FR
Standing girl a-t-il été créé par Théodore Jacques?,False,Fritz Röll,FR
Standing girl a-t-il été achevé en 1913?,True,1913,FR
Atatürk Monument a-t-il été créé par Dani Karavan?,False,Pietro Canonica,FR
Atatürk Monument a-t-il été achevé en 1932?,True,1932,FR
Aleksander Fredro Monument in Wrocław a-t-il été créé par Leonard Marconi?,True,Leonard Marconi,FR
Aleksander Fredro Monument in Wrocław a-t-il été achevé en 1897?,True,1897,FR
Semi-detached house (1928) a-t-il été créé par Etienne Perincioli?,True,Etienne Perincioli,FR
Semi-detached house (1928) a-t-il été achevé en 1954?,False,1928,FR
statue d'Alexandre II à Helsinki a-t-il été créé par Walter Runeberg?,True,Walter Runeberg,FR
statue d'Alexandre II à Helsinki a-t-il été achevé en 1950?,False,1894,FR
Renascence of Egypt a-t-il été créé par Jalal Garyaghdi?,False,Mahmoud Mokhtar,FR
Renascence of Egypt a-t-il été achevé en 1964?,False,1928,FR
Statue of Honor a-t-il été créé par Heinrich Krippel?,True,Heinrich Krippel,FR
Statue of Honor a-t-il été achevé en 2020?,False,1932,FR
Hirtenbrunnen a-t-il été créé par Karl Gundelach?,True,Karl Gundelach,FR
Hirtenbrunnen a-t-il été achevé en 1914?,True,1914,FR
fontaine de Christophe Colomb a-t-il été créé par Romeo Julhakyan?,False,Lorado Taft,FR
fontaine de Christophe Colomb a-t-il été achevé en 1915?,False,1912,FR
Newkirk Viaduct Monument a-t-il été créé par Thomas Walter?,True,Thomas Walter,FR
Newkirk Viaduct Monument a-t-il été achevé en 1923?,False,1838,FR
Monument à Lénine à Lviv a-t-il été créé par Marian Konieczny?,False,Sergueï Merkourov,FR
Monument à Lénine à Lviv a-t-il été achevé en 1849?,False,1952,FR
"Monument to the Chasseurs à Cheval of Alcántara, Valladolid a-t-il été créé par Mariano Benlliure?",True,Mariano Benlliure,FR
"Monument to the Chasseurs à Cheval of Alcántara, Valladolid a-t-il été achevé en 1931?",True,1931,FR
Gatehouse with round arch and reliefs at Gotzkowskybrücke a-t-il été créé par Walther Schmarje?,True,Walther Schmarje,FR
Gatehouse with round arch and reliefs at Gotzkowskybrücke a-t-il été achevé en 1963?,False,1911,FR
Der Mensch fliege a-t-il été créé par Daniel Chester French?,False,Baldur Schönfelder,FR
Der Mensch fliege a-t-il été achevé en 1968?,True,1968,FR
Freedom Monument a-t-il été créé par Rudolf Siemering?,False,Jawad Saleem,FR
Freedom Monument a-t-il été achevé en 1883?,False,1961,FR
Gate of Philip IV a-t-il été créé par Angelo Biancini?,False,Melchor de Bueras,FR
Gate of Philip IV a-t-il été achevé en 1690?,True,1690,FR
Lieutenant General George Washington a-t-il été créé par Ömer Eldarov?,False,Clark Mills,FR
Lieutenant General George Washington a-t-il été achevé en 1860?,True,1860,FR
Triunfo de San Rafael de la Puerta del Puente (Córdoba) a-t-il été créé par Jean-Michel Verdiguier?,True,Jean-Michel Verdiguier,FR
Triunfo de San Rafael de la Puerta del Puente (Córdoba) a-t-il été achevé en 1765?,True,1765,FR
Ivar Huitfeldt Column a-t-il été créé par Adolf Brütt?,False,Vilhelm Dahlerup,FR
Ivar Huitfeldt Column a-t-il été achevé en 1886?,True,1886,FR
Monument to Torgils Knutsson a-t-il été créé par Ville Vallgren?,True,Ville Vallgren,FR
Monument to Torgils Knutsson a-t-il été achevé en 1995?,False,1908,FR
Pioneer Woman a-t-il été créé par Alois Mayer?,False,Leo Friedlander,FR
Pioneer Woman a-t-il été achevé en 1936?,True,1936,FR
Goya memorial a-t-il été créé par Matti Varik?,False,Frederic Marès,FR
Goya memorial a-t-il été achevé en 1960?,True,1960,FR
General Osorio statue a-t-il été créé par Ferdinand Gehr?,False,Rodolfo Bernardelli,FR
General Osorio statue a-t-il été achevé en -255?,False,1884,FR
monument au général Maister a-t-il été créé par Jakov Brdar?,True,Jakov Brdar,FR
monument au général Maister a-t-il été achevé en 1999?,True,1999,FR
mémorial de Bell Telephone a-t-il été créé par Walter Allward?,True,Walter Allward,FR
mémorial de Bell Telephone a-t-il été achevé en 1832?,False,1917,FR
monument à sir Wilfrid Laurier a-t-il été créé par Ioulian Roukavichnikov?,False,Émile Brunet,FR
monument à sir Wilfrid Laurier a-t-il été achevé en 1953?,True,1953,FR
Monument to General Maximo Gomez (Havana) a-t-il été créé par Joseph Simon Volmar?,False,Aldo Gamba,FR
Monument to General Maximo Gomez (Havana) a-t-il été achevé en 1890?,False,1935,FR
Monument to Artigas a-t-il été créé par Angelo Zanelli?,True,Angelo Zanelli,FR
Monument to Artigas a-t-il été achevé en 1923?,True,1923,FR
Monument to Ivan Fedorov a-t-il été créé par Valentyn Borysenko?,True,Valentyn Borysenko,FR
Monument to Ivan Fedorov a-t-il été achevé en 1977?,True,1977,FR
"Statue of Taras Shevchenko, Smíchov a-t-il été créé par Valentin Znoba?",True,Valentin Znoba,FR
"Statue of Taras Shevchenko, Smíchov a-t-il été achevé en 2009?",True,2009,FR
Monument to Mykola Lysenko a-t-il été créé par Bernhard Luginbühl?,False,Oleksandr Kovalov,FR
Monument to Mykola Lysenko a-t-il été achevé en 1971?,False,1965,FR
Statue of Fuzuli (Baku) a-t-il été créé par Tokay Mammadov?,True,Tokay Mammadov,FR
Statue of Fuzuli (Baku) a-t-il été achevé en 1962?,True,1962,FR
Monument to Sergei Rachmaninoff (Veliky Novgorod) a-t-il été créé par Augustus Saint-Gaudens?,False,Alexandr Roukavichnikov,FR
Monument to Sergei Rachmaninoff (Veliky Novgorod) a-t-il été achevé en 1913?,False,2009,FR
monument à Tatichtchev a-t-il été créé par Alexandr Roukavichnikov?,True,Alexandr Roukavichnikov,FR
monument à Tatichtchev a-t-il été achevé en 1972?,False,1998,FR
Monument to victims of political repressions in Donetsk a-t-il été créé par Aleksandr Porozhnuk?,True,Aleksandr Porozhnuk,FR
Monument to victims of political repressions in Donetsk a-t-il été achevé en 2005?,True,2005,FR
Runic Singer Monument in Sortavala a-t-il été créé par Roger-Henri Expert?,False,Alpo Sailo,FR
Runic Singer Monument in Sortavala a-t-il été achevé en 1935?,True,1935,FR
Panikovsky statue in Kyiv a-t-il été créé par Clark Mills?,False,Vitali Sivko,FR
Panikovsky statue in Kyiv a-t-il été achevé en 1998?,True,1998,FR
Alexander Dargomyzhsky grave a-t-il été créé par Albert Wolff?,False,Andrey Khaustov,FR
Alexander Dargomyzhsky grave a-t-il été achevé en 1961?,True,1961,FR
Monument to Chocolate a-t-il été créé par Vladimir Druzin?,False,Ilya Shanin,FR
Monument to Chocolate a-t-il été achevé en 2009?,True,2009,FR
Memorial to the Victims of Faschism a-t-il été créé par Julio González Pola?,False,Valentin Grigorevitsj Sjtolko,FR
Memorial to the Victims of Faschism a-t-il été achevé en 1955?,True,1955,FR
Monument to the soldiers of the 77th Infantry Division a-t-il été créé par Ömer Eldarov?,True,Ömer Eldarov,FR
Monument to the soldiers of the 77th Infantry Division a-t-il été achevé en 1974?,True,1974,FR
Madonna of the Trail a-t-il été créé par Karl Gundelach?,False,August Leimbach,FR
Madonna of the Trail a-t-il été achevé en -070?,False,1928,FR
Confederate Monument a-t-il été créé par Maximilien Godefroy?,False,Charles E. Cassell,FR
Confederate Monument a-t-il été achevé en 1876?,True,1876,FR
George Gordon Meade Memorial a-t-il été créé par Charles Grafly?,True,Charles Grafly,FR
George Gordon Meade Memorial a-t-il été achevé en 1922?,True,1922,FR
Armistead Monument a-t-il été créé par Edward Berge?,True,Edward Berge,FR
Armistead Monument a-t-il été achevé en 1971?,False,1914,FR
Brigadier General Albert Pike a-t-il été créé par Alexandre Falguière?,False,Gaetano Trentanove,FR
Brigadier General Albert Pike a-t-il été achevé en 1588?,False,1901,FR
National War Correspondents Memorial a-t-il été créé par Fritz Klimsch?,False,George Alfred Townsend,FR
National War Correspondents Memorial a-t-il été achevé en 1877?,False,1896,FR
Triunfo de San Rafael del Puente Romano a-t-il été créé par Antoni Popiel?,False,Bernabé Gómez del Río,FR
Triunfo de San Rafael del Puente Romano a-t-il été achevé en 1651?,True,1651,FR
El Gato del Rio a-t-il été créé par Joseph Uphues?,False,Hernando Tejada,FR
El Gato del Rio a-t-il été achevé en 1996?,True,1996,FR
Stephenson Grand Army of the Republic Memorial a-t-il été créé par J. Massey Rhind?,True,J. Massey Rhind,FR
Stephenson Grand Army of the Republic Memorial a-t-il été achevé en 1909?,True,1909,FR
A Maria Eva Duarte de Perón by Ricardo Gianetti a-t-il été créé par Francis John Williamson?,False,Ricardo Gianetti,FR
A Maria Eva Duarte de Perón by Ricardo Gianetti a-t-il été achevé en 1885?,False,1997,FR
The Monument Cemetery of the Lost Cemeteries a-t-il été créé par Marguerite Syamour?,False,Jacek Krenz,FR
The Monument Cemetery of the Lost Cemeteries a-t-il été achevé en 1952?,False,2002,FR
Nuns of the Battlefield a-t-il été créé par Buster Simpson?,False,Jerome Connor,FR
Nuns of the Battlefield a-t-il été achevé en 0918?,False,1924,FR
Thomas Paine Monument a-t-il été créé par John Frazee?,True,John Frazee,FR
Thomas Paine Monument a-t-il été achevé en 1839?,True,1839,FR
monument aux héros de Varsovie a-t-il été créé par Max Klein?,False,Marian Konieczny,FR
monument aux héros de Varsovie a-t-il été achevé en 1821?,False,1964,FR
Monument to the Revolutionary Act in Rzeszów a-t-il été créé par Choi Chi-won?,False,Marian Konieczny,FR
Monument to the Revolutionary Act in Rzeszów a-t-il été achevé en 1974?,True,1974,FR
"Adam Mickiewicz Monument, Navahrudak a-t-il été créé par Valerian Yanushkevich?",True,Valerian Yanushkevich,FR
"Adam Mickiewicz Monument, Navahrudak a-t-il été achevé en 1898?",False,1992,FR
Soldiers and Sailors Monument a-t-il été créé par Urs Eggenschwyler?,False,Martin Milmore,FR
Soldiers and Sailors Monument a-t-il été achevé en 1856?,False,1877,FR
Kuva-yi Milliye and the Republic Monument a-t-il été créé par Vladimir Druzin?,False,Tankut Öktem,FR
Kuva-yi Milliye and the Republic Monument a-t-il été achevé en 2004?,True,2004,FR
Monument a Antonio López y López a-t-il été créé par Josep Oriol Mestres?,True,Josep Oriol Mestres,FR
Monument a Antonio López y López a-t-il été achevé en 1884?,True,1884,FR
Monumento a la Marina Universal a-t-il été créé par Manuel Gómez Román?,True,Manuel Gómez Román,FR
Monumento a la Marina Universal a-t-il été achevé en 1924?,True,1924,FR
Executors and executed a-t-il été créé par Xavier Corberó i Olivella?,True,Xavier Corberó i Olivella,FR
Executors and executed a-t-il été achevé en 1841?,False,1973,FR
Katyń monument at Podwale Street in Warsaw a-t-il été créé par Andrzej Renes?,True,Andrzej Renes,FR
Katyń monument at Podwale Street in Warsaw a-t-il été achevé en 1824?,False,1998,FR
Bust of George Washington in Warsaw a-t-il été créé par Jos van Riemsdijk?,False,Bronisław Koniuszy,FR
Bust of George Washington in Warsaw a-t-il été achevé en 1989?,True,1989,FR
Hedwig of Andechs monument in Katowice a-t-il été créé par Waldemar Grzimek?,False,Bruno Tschötschel,FR
Hedwig of Andechs monument in Katowice a-t-il été achevé en 1912?,True,1912,FR
Józef Piłsudski Monument at the Belweder in Warsaw a-t-il été créé par Fritz Klimsch?,False,Stanisław Kazimierz Ostrowski,FR
Józef Piłsudski Monument at the Belweder in Warsaw a-t-il été achevé en 1877?,False,1998,FR
Bust of Żeromski in Warsaw a-t-il été créé par Galileo Emendabili?,False,Stanisław Sikora,FR
Bust of Żeromski in Warsaw a-t-il été achevé en 1987?,True,1987,FR
Fryderyk Chopin monument in Gliwice a-t-il été créé par Xosé Cid Menor?,False,Jan Wysocki,FR
Fryderyk Chopin monument in Gliwice a-t-il été achevé en 1949?,True,1949,FR
"Statue of Cyril and Methodeus, Třebíč a-t-il été créé par Bernard Otto Seeling?",True,Bernard Otto Seeling,FR
"Statue of Cyril and Methodeus, Třebíč a-t-il été achevé en 1867?",False,1885,FR
Monument to Bernardo Ferrándiz a-t-il été créé par Agapit Vallmitjana i Barbany?,True,Agapit Vallmitjana i Barbany,FR
Monument to Bernardo Ferrándiz a-t-il été achevé en 1813?,False,1913,FR
"Monument to Rubén Darío, Málaga a-t-il été créé par José Planes Peñalver?",True,José Planes Peñalver,FR
"Monument to Rubén Darío, Málaga a-t-il été achevé en 1149?",False,1963,FR
Millennium Cross in Gdańsk a-t-il été créé par Max Einsele?,False,Jacek Łuczak,FR
Millennium Cross in Gdańsk a-t-il été achevé en 1909?,False,2000,FR
Statue of Fryderyk Chopin in Duszniki-Zdrój a-t-il été créé par Jan Kucz?,True,Jan Kucz,FR
Statue of Fryderyk Chopin in Duszniki-Zdrój a-t-il été achevé en 1976?,True,1976,FR
Pomnik Barykada Września a-t-il été créé par George Alfred Townsend?,False,Julian Pałka,FR
Pomnik Barykada Września a-t-il été achevé en 1987?,False,1979,FR
Monument to the victims of the disaster at the Nelson mine a-t-il été créé par Qin Shi Huang?,False,Karel Pokorný,FR
Monument to the victims of the disaster at the Nelson mine a-t-il été achevé en 1983?,True,1983,FR
mémorial de l'opération Anthropoid a-t-il été créé par David Moješčík?,True,David Moješčík,FR
mémorial de l'opération Anthropoid a-t-il été achevé en 2008?,True,2008,FR
Frederic Chopin monument in Słupsk a-t-il été créé par Mieczysław Welter?,True,Mieczysław Welter,FR
Frederic Chopin monument in Słupsk a-t-il été achevé en 1976?,True,1976,FR
Památník osvobození Rudou armádou a-t-il été créé par Hadrien?,False,Jaroslav Kovář mladší,FR
Památník osvobození Rudou armádou a-t-il été achevé en 1945?,True,1945,FR
Monument to political prisoners in Valdice a-t-il été créé par Stephan Balkenhol?,False,Jiři Sozanský,FR
Monument to political prisoners in Valdice a-t-il été achevé en 1866?,False,2009,FR
"Statue of Tomáš Garrigue Masaryk, Prague a-t-il été créé par Josef Vajce?",True,Josef Vajce,FR
"Statue of Tomáš Garrigue Masaryk, Prague a-t-il été achevé en 1931?",True,1931,FR
Happy sweeper statue in Mukachevo a-t-il été créé par Ivan Vasilevitsj Brovdi?,True,Ivan Vasilevitsj Brovdi,FR
Happy sweeper statue in Mukachevo a-t-il été achevé en 2010?,True,2010,FR
Statue of Stepan Bandera in Ternopil a-t-il été créé par Roman Vilhushynsky?,True,Roman Vilhushynsky,FR
Statue of Stepan Bandera in Ternopil a-t-il été achevé en 1948?,False,2008,FR
Taras Shevchenko monument a-t-il été créé par Andrey Khaustov?,False,Michail Jakimovitsj Gritsjuk,FR
Taras Shevchenko monument a-t-il été achevé en 1964?,True,1964,FR
"Monument to Mykhailo Hrushevskyi, Kyiv a-t-il été créé par Karl Trumpf?",False,Volodymyr Chepelyk,FR
