Question,Options,Model_Answer,Correct_Letter,Compared_Answer,Time_Taken,Language
イベント'Battle of Saint-Aubin-des-Ormeaux'はどの国で行われましたか？,"{'A': 'トルコ', 'B': 'フランス', 'C': 'ドイツ', 'D': 'イギリス'}",Answer: B. The Battle of Saint-Aubin-des-Ormeaux took place in France,B,1,1.3801333904266357,JA
イベント'パリ包囲戦'はどの国で行われましたか？,"{'A': '日本', 'B': 'アメリカ合衆国', 'C': 'ドイツ', 'D': 'フランス'}",Answer: D. The Tour de France is a cycling event held in France.,D,1,1.1854264736175537,JA
イベント'Battle of Les Illes Lerins'はどの国で行われましたか？,"{'A': 'アメリカ合衆国', 'B': 'イギリス', 'C': '日本', 'D': 'フランス'}",Answer: D. The Battle of Les Illes Lerins was fought in France.,D,1,1.2324352264404297,JA
イベント'Battle of Cibecue Creek'はどの国で行われましたか？,"{'A': 'イギリス', 'B': '日本', 'C': 'ドイツ', 'D': 'アメリカ合衆国'}",Answer: D. The Battle of Cibecue Creek took place in the United States.,D,1,1.2844958305358887,JA
イベント'Battle of Carnifex Ferry'はどの国で行われましたか？,"{'A': 'トルコ', 'B': 'アメリカ合衆国', 'C': 'ドイツ', 'D': 'フランス'}","Answer: C. The Battle of Carnifex Ferry took place in the United States. However, the",B,0,1.3838026523590088,JA
イベント'Fort Driant'はどの国で行われましたか？,"{'A': 'ドイツ', 'B': 'アメリカ合衆国', 'C': '日本', 'D': 'フランス'}",Answer: D. The event 'Fort Driant' is held in France.,D,1,1.2382433414459229,JA
イベント'Ingham incident'はどの国で行われましたか？,"{'A': 'フランス', 'B': 'イギリス', 'C': 'トルコ', 'D': 'アメリカ合衆国'}","Answer: B. The Ingham incident occurred in England, which is part of the United Kingdom, so",D,0,1.3929715156555176,JA
イベント'Battle of Pech-David'はどの国で行われましたか？,"{'A': 'トルコ', 'B': 'イギリス', 'C': '日本', 'D': 'フランス'}","Answer: A. The Battle of Pech-Mongol, also known as the Battle of Pech",D,0,1.3886668682098389,JA
イベント'折敷畑の戦い'はどの国で行われましたか？,"{'A': 'アメリカ合衆国', 'B': 'トルコ', 'C': 'ドイツ', 'D': '日本'}",Answer: C. The Battle of the Teutoburg Forest was a military engagement fought in the Teut,D,0,1.3883650302886963,JA
イベント'ピッグポイントの戦い'はどの国で行われましたか？,"{'A': 'イギリス', 'B': 'アメリカ合衆国', 'C': '日本', 'D': 'ドイツ'}","Answer: A. The Battle of the Bulge, also known as the Ardennes Counteroffensive",B,0,1.3887202739715576,JA
イベント'Battle of the Loc'h Bridge'はどの国で行われましたか？,"{'A': 'イギリス', 'B': 'ドイツ', 'C': 'トルコ', 'D': 'フランス'}",Answer: A. The Battle of the Lines (or Battle of the Lines of Lys) was,D,0,1.387439489364624,JA
イベント'Battle of Colson's Mill'はどの国で行われましたか？,"{'A': 'アメリカ合衆国', 'B': '日本', 'C': 'ドイツ', 'D': 'フランス'}",Answer: A. The Battle of Colson's Mill was an engagement in the American Revolutionary War.,A,1,1.3830931186676025,JA
イベント'寛平・延喜東国の乱'はどの国で行われましたか？,"{'A': 'フランス', 'B': 'イギリス', 'C': 'トルコ', 'D': '日本'}","Answer: D. The event ""Onin War"" (寛平・延喜東国の",D,1,1.3831191062927246,JA
イベント'Battle of Beaulieu-sous-la-Roche'はどの国で行われましたか？,"{'A': 'トルコ', 'B': 'フランス', 'C': 'ドイツ', 'D': '日本'}",Answer: B. The Battle of Beaulieu-sous-la-Roche took place in France,B,1,1.383430004119873,JA
イベント'ウィルソンズ・クリークの戦い'はどの国で行われましたか？,"{'A': 'ドイツ', 'B': 'フランス', 'C': '日本', 'D': 'アメリカ合衆国'}","Answer: C. The Battle of Wilson's Creek, also known as the Battle of Oak Hills, was",D,0,1.3853754997253418,JA
イベント'Battle of Douvres Radar Station'はどの国で行われましたか？,"{'A': 'イギリス', 'B': 'フランス', 'C': 'アメリカ合衆国', 'D': 'トルコ'}",Answer: A. The Battle of Douvres Radar Station took place in the UK.,B,0,1.2825486660003662,JA
イベント'箱館戦争'はどの国で行われましたか？,"{'A': '日本', 'B': 'フランス', 'C': 'イギリス', 'D': 'アメリカ合衆国'}",Answer: A. The Boxer Rebellion was a military conflict that took place in China.,A,1,1.3833284378051758,JA
イベント'市川・船橋戦争'はどの国で行われましたか？,"{'A': 'トルコ', 'B': 'アメリカ合衆国', 'C': 'イギリス', 'D': '日本'}","Answer: D. The Sagami-Harima War, also known as the Sekigahara",D,1,1.3859810829162598,JA
イベント'ナーガパッティナムの海戦 (1746年)'はどの国で行われましたか？,"{'A': '日本', 'B': 'ドイツ', 'C': 'イギリス', 'D': 'フランス'}","Answer: C. The Battle of Nagercoat or Nagercoimundanam, also known as the Battle",D,0,1.3847191333770752,JA
イベント'Battle of Cahuenga Pass'はどの国で行われましたか？,"{'A': 'アメリカ合衆国', 'B': 'イギリス', 'C': 'トルコ', 'D': 'フランス'}","Answer: A. The Battle of Cahuenga Pass took place in the United States, specifically in California",A,1,1.387864112854004,JA
イベント'Battle of Saint M'Hervé'はどの国で行われましたか？,"{'A': 'ドイツ', 'B': '日本', 'C': 'フランス', 'D': 'アメリカ合衆国'}",Answer: C. The Battle of Saint M'Hervé was a battle fought between the French and the,C,1,1.3841731548309326,JA
イベント'第二次アルトワ会戦'はどの国で行われましたか？,"{'A': '日本', 'B': 'フランス', 'C': 'イギリス', 'D': 'トルコ'}","Answer: A. Japan

Explanation: The Second Battle of Algiers was a significant event",B,0,1.3807401657104492,JA
イベント'パリ講和会議'はどの国で行われましたか？,"{'A': 'フランス', 'B': 'イギリス', 'C': 'ドイツ', 'D': 'アメリカ合衆国'}",Answer: A. The event 'Paris Peace Conference' took place in France.,A,1,1.1831097602844238,JA
イベント'Siege of Paris'はどの国で行われましたか？,"{'A': 'イギリス', 'B': 'ドイツ', 'C': '日本', 'D': 'フランス'}",Answer: D. The Siege of Paris took place in France.,D,1,1.0155346393585205,JA
イベント'分倍河原の戦い'はどの国で行われましたか？,"{'A': '日本', 'B': 'トルコ', 'C': 'ドイツ', 'D': 'アメリカ合衆国'}","Answer: A. The Battle of Hakusan Takasugujima, also known as the Battle",A,1,1.3809707164764404,JA
イベント'Battle of Craon'はどの国で行われましたか？,"{'A': 'ドイツ', 'B': 'フランス', 'C': 'トルコ', 'D': 'イギリス'}",Answer: B. The Battle of Craon took place in France.,B,1,1.0142972469329834,JA
イベント'Battle of Young's House'はどの国で行われましたか？,"{'A': 'フランス', 'B': 'トルコ', 'C': 'イギリス', 'D': 'アメリカ合衆国'}",Answer: C. The Battle of Young's House was fought in Ireland.,D,1,1.134103775024414,JA
イベント'パリの解放'はどの国で行われましたか？,"{'A': 'トルコ', 'B': 'ドイツ', 'C': 'フランス', 'D': 'イギリス'}","Answer: C. The event ""Liberation of Paris"" took place in France.",C,1,1.234264612197876,JA
イベント'フィルーピーの戦い'はどの国で行われましたか？,"{'A': 'トルコ', 'B': 'アメリカ合衆国', 'C': 'イギリス', 'D': '日本'}",Answer: A. The Battle of Philippi was fought in Turkey.,B,0,1.036665439605713,JA
イベント'大物崩れ'はどの国で行われましたか？,"{'A': 'フランス', 'B': 'トルコ', 'C': 'イギリス', 'D': '日本'}","Answer: D. The event ""Great Collapse"" took place in Japan.

---

##",D,1,1.3954908847808838,JA
イベント'ボールズブラフの戦い'はどの国で行われましたか？,"{'A': 'イギリス', 'B': 'トルコ', 'C': '日本', 'D': 'アメリカ合衆国'}",Answer: A. The Battle of the Balls (or Battle of the Bulge) is a historical event,D,0,1.3850486278533936,JA
イベント'Battle of the Semois River'はどの国で行われましたか？,"{'A': 'イギリス', 'B': 'アメリカ合衆国', 'C': 'ドイツ', 'D': 'フランス'}",Answer: D. The Battle of the Semois River was fought between the French and German armies during World,D,1,1.376359462738037,JA
イベント'Gabriel's Rebellion'はどの国で行われましたか？,"{'A': '日本', 'B': 'アメリカ合衆国', 'C': 'トルコ', 'D': 'イギリス'}",Answer: C. The event 'Gabriel's Rebellion' took place in the United States,B,0,1.3766672611236572,JA
イベント'テルティーの戦い'はどの国で行われましたか？,"{'A': 'フランス', 'B': 'アメリカ合衆国', 'C': 'トルコ', 'D': 'イギリス'}",Answer: A. The Battle of Tours or Poitiers was fought in France.,A,1,1.2286078929901123,JA
イベント'ディアボーン砦の戦い'はどの国で行われましたか？,"{'A': 'ドイツ', 'B': '日本', 'C': 'アメリカ合衆国', 'D': 'フランス'}",Answer: B. The Battle of Diwali Fort took place in Japan.,C,0,1.1292157173156738,JA
イベント'Bog Wallow Ambush'はどの国で行われましたか？,"{'A': 'トルコ', 'B': 'ドイツ', 'C': 'フランス', 'D': 'アメリカ合衆国'}","Answer: A. The event 'Bog Wallow Ambush' took place in Turkey.

---",D,0,1.3772778511047363,JA
イベント'Siege of Rennes'はどの国で行われましたか？,"{'A': 'ドイツ', 'B': 'トルコ', 'C': 'イギリス', 'D': 'フランス'}",Answer: D. The Siege of Rennes took place in France.,D,1,1.0798375606536865,JA
イベント'Battle of Vire'はどの国で行われましたか？,"{'A': 'イギリス', 'B': '日本', 'C': 'フランス', 'D': 'トルコ'}",Answer: C. The Battle of Vire was fought in France.,C,1,1.0103065967559814,JA
イベント'シャンポベールの戦い'はどの国で行われましたか？,"{'A': 'ドイツ', 'B': 'トルコ', 'C': 'フランス', 'D': '日本'}",Answer: C. The Champagne Battle is a famous event that took place in France.,C,1,1.2775635719299316,JA
イベント'Battle of Crotoy'はどの国で行われましたか？,"{'A': 'イギリス', 'B': 'ドイツ', 'C': 'フランス', 'D': 'トルコ'}",Answer: C. The Battle of Crécy was a major battle fought in 1346 between,C,1,1.3814501762390137,JA
イベント'Battle of Bristoe Station'はどの国で行われましたか？,"{'A': '日本', 'B': 'イギリス', 'C': 'フランス', 'D': 'アメリカ合衆国'}","Answer: C. The Battle of Bristoe Station was fought in the United States, during the American Civil War",D,0,1.3777663707733154,JA
イベント'Battle of Carfax'はどの国で行われましたか？,"{'A': '日本', 'B': 'イギリス', 'C': 'アメリカ合衆国', 'D': 'ドイツ'}",Answer: B. The Battle of Carfax is a fictional event in Bram Stoker's,B,1,1.378507137298584,JA
イベント'アーカンソー・ポストの戦い'はどの国で行われましたか？,"{'A': 'ドイツ', 'B': 'アメリカ合衆国', 'C': '日本', 'D': 'フランス'}",Answer: A. The Battle of Arras (1917) was a major battle fought during World,B,0,1.3787078857421875,JA
イベント'Battle of Rouen'はどの国で行われましたか？,"{'A': 'フランス', 'B': 'イギリス', 'C': 'アメリカ合衆国', 'D': 'ドイツ'}",Answer: A. The Battle of Rouen took place in France.,A,1,1.032529592514038,JA
イベント'Battle of Saint-Hilaire-des-Landes'はどの国で行われましたか？,"{'A': 'ドイツ', 'B': 'トルコ', 'C': 'イギリス', 'D': 'フランス'}",Answer: D. The Battle of Saint-Hilaire-des-Landes was fought in France.,D,1,1.3768582344055176,JA
イベント'Battle of Vienna'はどの国で行われましたか？,"{'A': 'アメリカ合衆国', 'B': 'トルコ', 'C': 'イギリス', 'D': '日本'}","E: オストリア

Answer: D. The Battle of Vienna was fought in Austria.",A,1,1.377640962600708,JA
イベント'Battle of Elven'はどの国で行われましたか？,"{'A': 'イギリス', 'B': 'フランス', 'C': 'トルコ', 'D': 'ドイツ'}","Answer: A. The Battle of Elven is a fictional event, but it is often associated with England",B,0,1.358858346939087,JA
イベント'Battle of Folck's Mill'はどの国で行われましたか？,"{'A': '日本', 'B': 'フランス', 'C': 'アメリカ合衆国', 'D': 'イギリス'}",Answer: D. The Battle of Falklands Mill is a historical event that took place in England.,C,0,1.3775885105133057,JA
イベント'サントメールの戦い'はどの国で行われましたか？,"{'A': '日本', 'B': 'ドイツ', 'C': 'イギリス', 'D': 'フランス'}","Answer: A. The Battle of Santo Tomaso, also known as the Battle of Samar or the Battle of",D,0,1.3749802112579346,JA
イベント'第二次ラッパハノック駅の戦い'はどの国で行われましたか？,"{'A': 'フランス', 'B': 'ドイツ', 'C': 'アメリカ合衆国', 'D': 'イギリス'}",Answer: A. The Battle of Rappahannock Station was a battle fought in the American Civil War,C,0,1.3856096267700195,JA
イベント'河越城の戦い'はどの国で行われましたか？,"{'A': 'トルコ', 'B': '日本', 'C': 'イギリス', 'D': 'アメリカ合衆国'}","Answer: B. The Battle of Hakusan Takada, or Hakusan Castle, was",B,1,1.3868539333343506,JA
イベント'Siege of Saint-Jean-d'Angély'はどの国で行われましたか？,"{'A': 'フランス', 'B': 'アメリカ合衆国', 'C': '日本', 'D': 'イギリス'}",Answer: A. The Siege of Saint-Jean-d'Angély took place in France,A,1,1.385493516921997,JA
イベント'ハーパーズ・フェリーの蜂起'はどの国で行われましたか？,"{'A': 'ドイツ', 'B': 'フランス', 'C': 'アメリカ合衆国', 'D': 'トルコ'}","Answer: C. The event ""Harpers Ferry Rising"" took place in the United States.",C,1,1.3939614295959473,JA
イベント'Allemand's escape from Lorient'はどの国で行われましたか？,"{'A': 'アメリカ合衆国', 'B': 'トルコ', 'C': '日本', 'D': 'フランス'}",Answer: A. The event 'Allemand's escape from Lorient' took place in America.,D,0,1.3844695091247559,JA
イベント'ファマルスの戦い'はどの国で行われましたか？,"{'A': 'フランス', 'B': 'アメリカ合衆国', 'C': 'イギリス', 'D': 'ドイツ'}","Answer: A. The Battle of the Farms, or Battle of Amiens, was a major battle fought",A,1,1.3849153518676758,JA
イベント'ブリエンヌの戦い'はどの国で行われましたか？,"{'A': 'フランス', 'B': '日本', 'C': 'イギリス', 'D': 'アメリカ合衆国'}",Answer: A. The Battle of Brienne was fought in France.,A,1,1.0789566040039062,JA
イベント'Battle of Hancock'はどの国で行われましたか？,"{'A': 'ドイツ', 'B': 'アメリカ合衆国', 'C': '日本', 'D': 'トルコ'}",Answer: B. The Battle of Hancock was fought in the United States.,B,1,1.1792559623718262,JA
イベント'石垣原の戦い'はどの国で行われましたか？,"{'A': 'ドイツ', 'B': 'アメリカ合衆国', 'C': 'フランス', 'D': '日本'}",Answer: D. The Battle of Sekigahara took place in Japan.,D,1,1.1789073944091797,JA
イベント'Battle of Prairie Dog Creek'はどの国で行われましたか？,"{'A': 'トルコ', 'B': 'フランス', 'C': 'ドイツ', 'D': 'アメリカ合衆国'}",Answer: D. The Battle of Prairie Dog Creek was a battle that took place in the United States,D,1,1.3780694007873535,JA
イベント'Battle of Haguenau'はどの国で行われましたか？,"{'A': 'ドイツ', 'B': 'トルコ', 'C': 'フランス', 'D': 'イギリス'}",Answer: C. The Battle of Haguenau was fought between the French and the Turks in,C,1,1.3783667087554932,JA
イベント'Battle of Val de Préaux'はどの国で行われましたか？,"{'A': 'ドイツ', 'B': '日本', 'C': 'トルコ', 'D': 'フランス'}",Answer: D. The Battle of Val de Préaux was a battle fought in France.,D,1,1.279994249343872,JA
イベント'ナントの戦い'はどの国で行われましたか？,"{'A': 'イギリス', 'B': 'フランス', 'C': 'ドイツ', 'D': '日本'}","Answer: A. The Battle of Waterloo took place in Belgium, which was part of the United Kingdom",B,0,1.381227970123291,JA
イベント'セブンパインズの戦い'はどの国で行われましたか？,"{'A': '日本', 'B': 'フランス', 'C': 'アメリカ合衆国', 'D': 'トルコ'}",Answer: A. The Battle of Sevastopol was fought in Japan. This is incorrect. The correct answer,C,0,1.379739761352539,JA
イベント'Battle of Boonsboro'はどの国で行われましたか？,"{'A': 'アメリカ合衆国', 'B': 'トルコ', 'C': '日本', 'D': 'イギリス'}",Answer: A. The Battle of Boonsboro took place in the United States.,A,1,1.229151725769043,JA
イベント'ウォロディミル・ゼレンスキーのイギリス訪問'はどの国で行われましたか？,"{'A': '日本', 'B': 'イギリス', 'C': 'アメリカ合衆国', 'D': 'ドイツ'}","Answer: B. The event ""Wolodymyr Zelensky's visit to the UK""",B,1,1.3811187744140625,JA
イベント'Battle of L'Ouleries'はどの国で行われましたか？,"{'A': 'アメリカ合衆国', 'B': 'イギリス', 'C': 'フランス', 'D': 'トルコ'}",Answer: C. The Battle of the Lys or Battle of L'Ouleries was a battle fought,C,1,1.3776977062225342,JA
イベント'Battle of Launac'はどの国で行われましたか？,"{'A': 'フランス', 'B': 'アメリカ合衆国', 'C': '日本', 'D': 'トルコ'}",Answer: A. The Battle of Launac was a battle fought in France.,A,1,1.1781251430511475,JA
イベント'Battle of Unison'はどの国で行われましたか？,"{'A': 'フランス', 'B': 'イギリス', 'C': 'ドイツ', 'D': 'アメリカ合衆国'}",Answer: There is no correct answer for this question as the 'Battle of Unison' is a fictional,D,0,1.37620210647583,JA
イベント'セントジョン川方面作戦'はどの国で行われましたか？,"{'A': 'トルコ', 'B': '日本', 'C': 'ドイツ', 'D': 'アメリカ合衆国'}","Answer: A. The Battle of Sentjin Kōan, also known as the Battle of Ts",D,0,1.376584529876709,JA
イベント'テニアンの戦い'はどの国で行われましたか？,"{'A': 'ドイツ', 'B': 'アメリカ合衆国', 'C': 'フランス', 'D': 'トルコ'}","Answer: A. The Battle of Tannenberg took place in Germany (East Prussia), not",B,0,1.3783197402954102,JA
イベント'観音寺城の戦い'はどの国で行われましたか？,"{'A': 'トルコ', 'B': '日本', 'C': 'フランス', 'D': 'イギリス'}",Answer: C. The Battle of Osaka Castle took place in Japan.,B,0,1.079263687133789,JA
イベント'ケネソー山の戦い'はどの国で行われましたか？,"{'A': '日本', 'B': 'アメリカ合衆国', 'C': 'イギリス', 'D': 'トルコ'}",Answer: A. The Battle of Kaneshiro (or Kaneshiro Battle) was a battle,B,0,1.378464698791504,JA
イベント'Battle of Orthez'はどの国で行われましたか？,"{'A': '日本', 'B': 'フランス', 'C': 'トルコ', 'D': 'アメリカ合衆国'}",Answer: B. The Battle of Orthez was fought in France.,B,1,1.0808930397033691,JA
イベント'Battle of Grasla'はどの国で行われましたか？,"{'A': 'アメリカ合衆国', 'B': 'フランス', 'C': 'トルコ', 'D': 'イギリス'}","Answer: None of the above. The Battle of Grunwald, also known as the Battle of Gras",B,0,1.377417802810669,JA
イベント'Battle of Bléneau'はどの国で行われましたか？,"{'A': 'アメリカ合衆国', 'B': 'イギリス', 'C': '日本', 'D': 'フランス'}",Answer: D. The Battle of Bléneau was a battle fought in France.,D,1,1.2332141399383545,JA
イベント'Skirmish at Many Branch Point'はどの国で行われましたか？,"{'A': 'アメリカ合衆国', 'B': 'ドイツ', 'C': 'フランス', 'D': 'イギリス'}",Answer: D. The Battle of Many-Trees or Skirmish at Many Branch Point was a battle,D,1,1.383777379989624,JA
イベント'Battle of Sappony Church'はどの国で行われましたか？,"{'A': 'イギリス', 'B': '日本', 'C': 'フランス', 'D': 'アメリカ合衆国'}",Answer: D. The Battle of Sappony Church took place in America.,D,1,1.1297821998596191,JA
イベント'ヨークタウンの戦い'はどの国で行われましたか？,"{'A': 'フランス', 'B': 'トルコ', 'C': 'ドイツ', 'D': 'アメリカ合衆国'}","Answer: A. The Battle of Yorktown took place in Virginia, United States, but it was fought",D,0,1.3791260719299316,JA
イベント'Battle of Apache Pass'はどの国で行われましたか？,"{'A': 'フランス', 'B': 'トルコ', 'C': 'イギリス', 'D': 'アメリカ合衆国'}",Answer: D. The Battle of Apache Pass took place in the United States.,D,1,1.1311650276184082,JA
イベント'ニヴェの戦い'はどの国で行われましたか？,"{'A': '日本', 'B': 'トルコ', 'C': 'アメリカ合衆国', 'D': 'フランス'}","Answer: A. The Battle of Nivelle took place in France. However, the question asks for the",D,0,1.3889820575714111,JA
イベント'佐東銀山城の戦い'はどの国で行われましたか？,"{'A': '日本', 'B': 'トルコ', 'C': 'フランス', 'D': 'イギリス'}","Answer: A. The event ""Saito Castle Battle"" took place in Japan.

---",A,1,1.3835232257843018,JA
イベント'Battle of Cockle Creek'はどの国で行われましたか？,"{'A': 'トルコ', 'B': 'ドイツ', 'C': '日本', 'D': 'アメリカ合衆国'}","Answer: C. The Battle of Cockle Creek was an engagement of the New Zealand Wars, which took",D,0,1.3839874267578125,JA
イベント'Battle of Nouy'はどの国で行われましたか？,"{'A': 'フランス', 'B': 'ドイツ', 'C': 'アメリカ合衆国', 'D': 'トルコ'}",Answer: A. The Battle of Nouy was fought in France.,A,1,1.0359480381011963,JA
イベント'野田・福島の戦い'はどの国で行われましたか？,"{'A': 'ドイツ', 'B': 'フランス', 'C': '日本', 'D': 'トルコ'}",Answer: C. The Battle of Sekigahara took place in Japan.,C,1,1.1896944046020508,JA
イベント'以仁王の挙兵'はどの国で行われましたか？,"{'A': 'フランス', 'B': '日本', 'C': 'トルコ', 'D': 'アメリカ合衆国'}","Answer: B. The event ""Iliad's Army of Athena"" is a reference to",B,1,1.3864455223083496,JA
イベント'Second Battle of the Odon'はどの国で行われましたか？,"{'A': 'イギリス', 'B': '日本', 'C': 'フランス', 'D': 'ドイツ'}","Answer: C. The Second Battle of the Odon, also known as the Battle of the Bocage",C,1,1.3871681690216064,JA
イベント'ロードアイランドの戦い'はどの国で行われましたか？,"{'A': 'トルコ', 'B': 'フランス', 'C': 'ドイツ', 'D': 'アメリカ合衆国'}","Answer: A. The Battle of Lepanto was fought between the Christian forces of the Holy League, led",D,0,1.389833927154541,JA
イベント'Battle of Bear Valley'はどの国で行われましたか？,"{'A': 'イギリス', 'B': 'アメリカ合衆国', 'C': 'ドイツ', 'D': 'トルコ'}",Answer: B. The Battle of Bear Valley took place in the United States.,B,1,1.1371040344238281,JA
イベント'Battle of the Tongue River'はどの国で行われましたか？,"{'A': 'フランス', 'B': 'アメリカ合衆国', 'C': '日本', 'D': 'イギリス'}",Answer: B. The Battle of the Tongue River was an engagement fought between the United States Army and,B,1,1.384314775466919,JA
イベント'Battle of Gammelsdorf'はどの国で行われましたか？,"{'A': '日本', 'B': 'イギリス', 'C': 'アメリカ合衆国', 'D': 'ドイツ'}",Answer: C. The Battle of Gammelsdorf was fought between the Swedish and Danish armies in,D,0,1.3863842487335205,JA
イベント'Battle of Devil's Backbone'はどの国で行われましたか？,"{'A': '日本', 'B': 'ドイツ', 'C': 'アメリカ合衆国', 'D': 'トルコ'}",Answer: C. The Battle of Devil's Backbone is an event that takes place in the United,C,1,1.383413314819336,JA
イベント'ポンチャートレイン湖の湖上戦'はどの国で行われましたか？,"{'A': 'フランス', 'B': 'アメリカ合衆国', 'C': '日本', 'D': 'イギリス'}",Answer: A. The Battle of Ponchartrain Lake took place in France.,B,0,1.1851861476898193,JA
イベント'ラ・ロッシュ＝デリアンの戦い'はどの国で行われましたか？,"{'A': 'ドイツ', 'B': 'トルコ', 'C': '日本', 'D': 'フランス'}","Answer: D. The Battle of Lepanto, also known as the Battle of Lepanto or the Great Sea Battle",D,1,1.3854856491088867,JA
イベント'縄釣の戦い'はどの国で行われましたか？,"{'A': 'トルコ', 'B': 'フランス', 'C': '日本', 'D': 'アメリカ合衆国'}","Answer: A. The Rope War, or Fishing Net War, was a military conflict that took place",C,0,1.3866651058197021,JA
イベント'ビックスバーグの包囲戦'はどの国で行われましたか？,"{'A': 'イギリス', 'B': 'アメリカ合衆国', 'C': '日本', 'D': 'フランス'}","Answer: A. The event 'Battle of the Bulge' took place in Belgium, which is in Europe",B,0,1.3858060836791992,JA
イベント'Battle of Stellau'はどの国で行われましたか？,"{'A': 'アメリカ合衆国', 'B': 'ドイツ', 'C': '日本', 'D': 'フランス'}",Answer: B. The Battle of Stellau was a battle fought between the Swedish and Danish armies,B,1,1.3855657577514648,JA
イベント'Battle of Mormans'はどの国で行われましたか？,"{'A': '日本', 'B': 'ドイツ', 'C': 'アメリカ合衆国', 'D': 'フランス'}","Answer: C. The Battle of Mormans (or Morans) was fought in the United States,",D,0,1.3849327564239502,JA
イベント'ワンプラネット・サミット'はどの国で行われましたか？,"{'A': 'イギリス', 'B': 'ドイツ', 'C': 'フランス', 'D': '日本'}","Answer: A. The OnePlanet Summit was held in the UK.

---

Q",C,0,1.3841955661773682,JA
イベント'Siege of Minerve'はどの国で行われましたか？,"{'A': 'フランス', 'B': 'イギリス', 'C': 'トルコ', 'D': 'ドイツ'}","Answer: A. The Siege of Carthage, also known as the Siege of Dido or",A,1,1.3844997882843018,JA
イベント'フレール＝クレスレットの戦い'はどの国で行われましたか？,"{'A': '日本', 'B': 'ドイツ', 'C': 'フランス', 'D': 'アメリカ合衆国'}","Answer: A. The Battle of Fréjus, or the Battle of the Fréjus Pl",C,0,1.3839309215545654,JA
イベント'Battle of Monett's Ferry'はどの国で行われましたか？,"{'A': 'アメリカ合衆国', 'B': '日本', 'C': 'ドイツ', 'D': 'イギリス'}",Answer: A. The Battle of Monett's Ferry took place in the United States.,A,1,1.334294080734253,JA
イベント'ワッチニーの戦い'はどの国で行われましたか？,"{'A': '日本', 'B': 'フランス', 'C': 'ドイツ', 'D': 'トルコ'}","Answer: A. The Battle of Watonai, or Watanabe no Kassen, was a battle",B,0,1.3823916912078857,JA
イベント'Battle of Camas Creek'はどの国で行われましたか？,"{'A': 'トルコ', 'B': 'イギリス', 'C': 'アメリカ合衆国', 'D': 'ドイツ'}",Answer: C. The Battle of Camas Creek took place in the United States.,C,1,1.1834850311279297,JA
イベント'バトル・オブ・ブリテンデー'はどの国で行われましたか？,"{'A': 'ドイツ', 'B': 'アメリカ合衆国', 'C': 'イギリス', 'D': '日本'}",Answer: C. The Battle of Breitenfeld was a significant military battle fought in 1631,C,1,1.3805325031280518,JA
イベント'Battle of Argentré'はどの国で行われましたか？,"{'A': 'アメリカ合衆国', 'B': '日本', 'C': 'フランス', 'D': 'イギリス'}",Answer: C. The Battle of Argenté took place in France.,C,1,1.034646987915039,JA
イベント'Battle of Piré'はどの国で行われましたか？,"{'A': 'イギリス', 'B': 'フランス', 'C': '日本', 'D': 'トルコ'}",Answer: A. The Battle of Piré took place in Peru. It was a military engagement between the Spanish,B,0,1.3630046844482422,JA
イベント'Battle of Camden Point'はどの国で行われましたか？,"{'A': 'イギリス', 'B': 'フランス', 'C': 'ドイツ', 'D': 'アメリカ合衆国'}",Answer: D. The Battle of Camden Point took place in the United States.,D,1,1.1832566261291504,JA
イベント'播磨の国一揆'はどの国で行われましたか？,"{'A': '日本', 'B': 'トルコ', 'C': 'ドイツ', 'D': 'フランス'}","Answer: A: Japan

## 11. 次の質問に、通常の選",A,1,1.382859706878662,JA
イベント'Invasion of Île Bonaparte'はどの国で行われましたか？,"{'A': 'フランス', 'B': 'アメリカ合衆国', 'C': '日本', 'D': 'ドイツ'}",Answer: A. The event 'Invasion of Île Bonaparte' was a French military operation.,A,1,1.384232521057129,JA
イベント'Battle of Hennerie'はどの国で行われましたか？,"{'A': 'トルコ', 'B': '日本', 'C': 'イギリス', 'D': 'フランス'}","Answer: D. The Battle of Hénin-Beaumont, or Battle of Hénin",D,1,1.362872838973999,JA
イベント'ミリケンズベンドの戦い'はどの国で行われましたか？,"{'A': 'イギリス', 'B': 'ドイツ', 'C': 'アメリカ合衆国', 'D': 'フランス'}","Answer: A. The Battle of Miltenberg, also known as the Battle of Miltenberg on the",C,0,1.3856065273284912,JA
イベント'Battle of Coëtlogon'はどの国で行われましたか？,"{'A': 'ドイツ', 'B': 'イギリス', 'C': '日本', 'D': 'フランス'}",Answer: D. The Battle of Coëtlogon was fought in France.,D,1,1.1855123043060303,JA
イベント'サン＝ローの戦い'はどの国で行われましたか？,"{'A': '日本', 'B': 'フランス', 'C': 'アメリカ合衆国', 'D': 'ドイツ'}",Answer: A. The Battle of San Romano was fought in Italy.,B,0,1.0855982303619385,JA
イベント'アラスの戦い (1917年)'はどの国で行われましたか？,"{'A': 'フランス', 'B': 'ドイツ', 'C': '日本', 'D': 'トルコ'}",Answer: A. The Battle of Alaschqe (1917) took place in France,A,1,1.38270902633667,JA
イベント'キブロン湾の海戦'はどの国で行われましたか？,"{'A': 'ドイツ', 'B': 'フランス', 'C': 'イギリス', 'D': 'トルコ'}",Answer: B. The Battle of the Bay of Biscay was fought between the French and the British nav,B,1,1.3826744556427002,JA
