language,question,correct_answer
FR,Qui est le créateur de monument à la fondation du Parti?,Mansudae Art Studio
FR,En quelle année monument à la fondation du Parti a-t-il été achevé?,1995
DE,Wer ist der Schöpfer von Monument zur Gründung der Partei der Arbeit Koreas?,Mansudae Kunststudio
DE,In welchem Jahr wurde Monument zur Gründung der Partei der Arbeit Koreas fertiggestellt?,1995
TR,Parti Kuruluş Anıtı'in yaratıcısı kim?,Mansudae Art Studio
TR,Parti Kuruluş Anıtı hangi yılda tamamlandı?,1995
JA,党創立記念塔 の創作者は誰ですか？,万寿台創作社
JA,党創立記念塔 は何年に完成しましたか？,1995
EN,Who is the creator of statue of Coronation of Stephen I in Esztergom?,Miklós Melocco
EN,In which year was statue of Coronation of Stephen I in Esztergom completed?,2001
FR,Qui est le créateur de statue of Coronation of Stephen I in Esztergom?,Miklós Melocco
FR,En quelle année statue of Coronation of Stephen I in Esztergom a-t-il été achevé?,2001
DE,Wer ist der Schöpfer von statue of Coronation of Stephen I in Esztergom?,Miklós Melocco
DE,In welchem Jahr wurde statue of Coronation of Stephen I in Esztergom fertiggestellt?,2001
TR,statue of Coronation of Stephen I in Esztergom'in yaratıcısı kim?,Miklós Melocco
TR,statue of Coronation of Stephen I in Esztergom hangi yılda tamamlandı?,2001
JA,statue of Coronation of Stephen I in Esztergom の創作者は誰ですか？,Miklós Melocco
JA,statue of Coronation of Stephen I in Esztergom は何年に完成しましたか？,2001
EN,Who is the creator of St. Jacob's Monument?,Ferdinand Schlöth
EN,In which year was St. Jacob's Monument completed?,1872
FR,Qui est le créateur de St. Jacob's Monument?,Ferdinand Schlöth
FR,En quelle année St. Jacob's Monument a-t-il été achevé?,1872
DE,Wer ist der Schöpfer von St. Jakobs-Denkmal?,Ferdinand Schlöth
DE,In welchem Jahr wurde St. Jakobs-Denkmal fertiggestellt?,1872
TR,St. Jacob's Monument'in yaratıcısı kim?,Ferdinand Schlöth
TR,St. Jacob's Monument hangi yılda tamamlandı?,1872
JA,St. Jacob's Monument の創作者は誰ですか？,Ferdinand Schlöth
JA,St. Jacob's Monument は何年に完成しましたか？,1872
EN,Who is the creator of Karl Marx Memorial?,Hans Kies
EN,In which year was Karl Marx Memorial completed?,1964
FR,Qui est le créateur de Karl Marx Memorial?,Hans Kies
FR,En quelle année Karl Marx Memorial a-t-il été achevé?,1964
DE,Wer ist der Schöpfer von Karl-Marx-Erinnerungsstätte?,Hans Kies
DE,In welchem Jahr wurde Karl-Marx-Erinnerungsstätte fertiggestellt?,1964
TR,Karl Marx Memorial'in yaratıcısı kim?,Hans Kies
TR,Karl Marx Memorial hangi yılda tamamlandı?,1964
JA,Karl Marx Memorial の創作者は誰ですか？,Hans Kies
JA,Karl Marx Memorial は何年に完成しましたか？,1964
EN,Who is the creator of Monument voor de Benzinepomp?,Henk Visch
EN,In which year was Monument voor de Benzinepomp completed?,1993
FR,Qui est le créateur de Monument voor de Benzinepomp?,Henk Visch
FR,En quelle année Monument voor de Benzinepomp a-t-il été achevé?,1993
DE,Wer ist der Schöpfer von Monument voor de Benzinepomp?,Henk Visch
DE,In welchem Jahr wurde Monument voor de Benzinepomp fertiggestellt?,1993
TR,Monument voor de Benzinepomp'in yaratıcısı kim?,Henk Visch
TR,Monument voor de Benzinepomp hangi yılda tamamlandı?,1993
JA,Monument voor de Benzinepomp の創作者は誰ですか？,Henk Visch
JA,Monument voor de Benzinepomp は何年に完成しましたか？,1993
EN,Who is the creator of Kowdiar Palace?,Chithira Thirunal Balarama Varma
EN,In which year was Kowdiar Palace completed?,1931
FR,Qui est le créateur de Kowdiar Palace?,Chithira Thirunal Balarama Varma
FR,En quelle année Kowdiar Palace a-t-il été achevé?,1931
DE,Wer ist der Schöpfer von Kowdiar Palace?,Chithira Thirunal Balarama Varma
DE,In welchem Jahr wurde Kowdiar Palace fertiggestellt?,1931
TR,Kowdiar Palace'in yaratıcısı kim?,Chithira Thirunal Balarama Varma
TR,Kowdiar Palace hangi yılda tamamlandı?,1931
JA,Kowdiar Palace の創作者は誰ですか？,スレー・ヴァルマ
JA,Kowdiar Palace は何年に完成しましたか？,1931
EN,Who is the creator of Swing?,Arie Berkulin
EN,In which year was Swing completed?,1977
FR,Qui est le créateur de Swing?,Arie Berkulin
FR,En quelle année Swing a-t-il été achevé?,1977
DE,Wer ist der Schöpfer von Swing?,Arie Berkulin
DE,In welchem Jahr wurde Swing fertiggestellt?,1977
TR,Swing'in yaratıcısı kim?,Arie Berkulin
TR,Swing hangi yılda tamamlandı?,1977
JA,Swing の創作者は誰ですか？,Arie Berkulin
JA,Swing は何年に完成しましたか？,1977
EN,Who is the creator of Lampenmaakstertje?,Jos van Riemsdijk
EN,In which year was Lampenmaakstertje completed?,1966
FR,Qui est le créateur de Lampenmaakstertje?,Jos van Riemsdijk
FR,En quelle année Lampenmaakstertje a-t-il été achevé?,1966
DE,Wer ist der Schöpfer von Lampenmaakstertje?,Jos van Riemsdijk
DE,In welchem Jahr wurde Lampenmaakstertje fertiggestellt?,1966
TR,Lampenmaakstertje'in yaratıcısı kim?,Jos van Riemsdijk
TR,Lampenmaakstertje hangi yılda tamamlandı?,1966
JA,Lampenmaakstertje の創作者は誰ですか？,Jos van Riemsdijk
JA,Lampenmaakstertje は何年に完成しましたか？,1966
EN,Who is the creator of Thun Panorama?,Marquard Wocher
EN,In which year was Thun Panorama completed?,1810
FR,Qui est le créateur de Thun-Panorama?,Marquard Wocher
FR,En quelle année Thun-Panorama a-t-il été achevé?,1810
DE,Wer ist der Schöpfer von Thun-Panorama?,Marquard Wocher
DE,In welchem Jahr wurde Thun-Panorama fertiggestellt?,1810
TR,Thun Panorama'in yaratıcısı kim?,Marquard Wocher
TR,Thun Panorama hangi yılda tamamlandı?,1810
JA,Thun Panorama の創作者は誰ですか？,Marquard Wocher
JA,Thun Panorama は何年に完成しましたか？,1810
EN,Who is the creator of Main entrance of the 1900 Paris Exhibition?,Anatole Guillot
EN,In which year was Main entrance of the 1900 Paris Exhibition completed?,1900
FR,Qui est le créateur de porte Monumentale?,Anatole Guillot
FR,En quelle année porte Monumentale a-t-il été achevé?,1900
DE,Wer ist der Schöpfer von Main entrance of the 1900 Paris Exhibition?,Anatole Guillot
DE,In welchem Jahr wurde Main entrance of the 1900 Paris Exhibition fertiggestellt?,1900
TR,Main entrance of the 1900 Paris Exhibition'in yaratıcısı kim?,Anatole Guillot
TR,Main entrance of the 1900 Paris Exhibition hangi yılda tamamlandı?,1900
JA,Main entrance of the 1900 Paris Exhibition の創作者は誰ですか？,Anatole Guillot
JA,Main entrance of the 1900 Paris Exhibition は何年に完成しましたか？,1900
EN,Who is the creator of Fontana del Sacramento?,Giovanni Vasanzio
EN,In which year was Fontana del Sacramento completed?,1605
FR,Qui est le créateur de Fontana del Sacramento?,Giovanni Vasanzio
FR,En quelle année Fontana del Sacramento a-t-il été achevé?,1605
DE,Wer ist der Schöpfer von Fontana del Sacramento?,Giovanni Vasanzio
DE,In welchem Jahr wurde Fontana del Sacramento fertiggestellt?,1605
TR,Sacramento Çeşmesi'in yaratıcısı kim?,Giovanni Vasanzio
TR,Sacramento Çeşmesi hangi yılda tamamlandı?,1605
JA,Fontana del Sacramento の創作者は誰ですか？,Giovanni Vasanzio
JA,Fontana del Sacramento は何年に完成しましたか？,1605
EN,Who is the creator of Princess Olha Monument?,Ivan Kavaleridze
EN,In which year was Princess Olha Monument completed?,1911
FR,Qui est le créateur de Princess Olha Monument?,Ivan Kavaléridzé
FR,En quelle année Princess Olha Monument a-t-il été achevé?,1911
DE,Wer ist der Schöpfer von Denkmal der Fürstin Olga?,Iwan Kawaleridse
DE,In welchem Jahr wurde Denkmal der Fürstin Olga fertiggestellt?,1911
TR,Princess Olha Monument'in yaratıcısı kim?,Ivan Kawaleridze
TR,Princess Olha Monument hangi yılda tamamlandı?,1911
JA,Princess Olha Monument の創作者は誰ですか？,イヴァン・カヴァレリゼ
JA,Princess Olha Monument は何年に完成しましたか？,1911
EN,Who is the creator of Monument to Yaroslav the Wise (Kyiv)?,Ivan Kavaleridze
EN,In which year was Monument to Yaroslav the Wise (Kyiv) completed?,1997
FR,Qui est le créateur de Monument à Iaroslav le Sage?,Ivan Kavaléridzé
FR,En quelle année Monument à Iaroslav le Sage a-t-il été achevé?,1997
DE,Wer ist der Schöpfer von Denkmal für Jaroslaw den Weisen?,Iwan Kawaleridse
DE,In welchem Jahr wurde Denkmal für Jaroslaw den Weisen fertiggestellt?,1997
TR,Monument to Yaroslav the Wise (Kyiv)'in yaratıcısı kim?,Ivan Kawaleridze
TR,Monument to Yaroslav the Wise (Kyiv) hangi yılda tamamlandı?,1997
JA,Monument to Yaroslav the Wise (Kyiv) の創作者は誰ですか？,イヴァン・カヴァレリゼ
JA,Monument to Yaroslav the Wise (Kyiv) は何年に完成しましたか？,1997
EN,Who is the creator of Soviet War Memorial Schönholzer Heide?,Ivan Pershudchev
EN,In which year was Soviet War Memorial Schönholzer Heide completed?,1949
FR,Qui est le créateur de mémorial soviétique de Schönholzer Heide?,Ivan Pershudchev
FR,En quelle année mémorial soviétique de Schönholzer Heide a-t-il été achevé?,1949
DE,Wer ist der Schöpfer von Sowjetisches Ehrenmal Schönholzer Heide?,Iwan Gawrilowitsch Perschudtschew
DE,In welchem Jahr wurde Sowjetisches Ehrenmal Schönholzer Heide fertiggestellt?,1949
JA,Soviet War Memorial Schönholzer Heide の創作者は誰ですか？,Ivan Pershudchev
JA,Soviet War Memorial Schönholzer Heide は何年に完成しましたか？,1949
EN,Who is the creator of Anyanwu?,Ben Enwonwu
EN,In which year was Anyanwu completed?,1954
FR,Qui est le créateur de Anyanwu (sculpture)?,Ben Enwonwu
FR,En quelle année Anyanwu (sculpture) a-t-il été achevé?,1954
DE,Wer ist der Schöpfer von Anyanwu?,Ben Enwonwu
DE,In welchem Jahr wurde Anyanwu fertiggestellt?,1954
TR,Anyanwu'in yaratıcısı kim?,Ben Enwonwu
TR,Anyanwu hangi yılda tamamlandı?,1954
JA,Anyanwu の創作者は誰ですか？,ベン・エンウォンウー
JA,Anyanwu は何年に完成しましたか？,1954
EN,Who is the creator of Monument to Henryk Sienkiewicz in Rome?,Czesław Dźwigaj
EN,In which year was Monument to Henryk Sienkiewicz in Rome completed?,2006
FR,Qui est le créateur de Monument to Henryk Sienkiewicz in Rome?,Czesław Dźwigaj
FR,En quelle année Monument to Henryk Sienkiewicz in Rome a-t-il été achevé?,2006
DE,Wer ist der Schöpfer von Denkmal für Henryk Sienkiewicz in Rom?,Czesław Dźwigaj
DE,In welchem Jahr wurde Denkmal für Henryk Sienkiewicz in Rom fertiggestellt?,2006
TR,Henryk Sienkiewicz Anıtı'in yaratıcısı kim?,Czesław Dźwigaj
TR,Henryk Sienkiewicz Anıtı hangi yılda tamamlandı?,2006
JA,Monument to Henryk Sienkiewicz in Rome の創作者は誰ですか？,Czesław Dźwigaj
JA,Monument to Henryk Sienkiewicz in Rome は何年に完成しましたか？,2006
EN,"Who is the creator of Grön eld, Umeå?",Vicke Lindstrand
EN,"In which year was Grön eld, Umeå completed?",1970
FR,Qui est le créateur de Grön eld?,Vicke Lindstrand
FR,En quelle année Grön eld a-t-il été achevé?,1970
DE,Wer ist der Schöpfer von Grön eld?,Vicke Lindstrand
DE,In welchem Jahr wurde Grön eld fertiggestellt?,1970
TR,"Grön eld, Umeå'in yaratıcısı kim?",Vicke Lindstrand
TR,"Grön eld, Umeå hangi yılda tamamlandı?",1970
JA,"Grön eld, Umeå の創作者は誰ですか？",Vicke Lindstrand
JA,"Grön eld, Umeå は何年に完成しましたか？",1970
EN,Who is the creator of Wellington Cenotaph?,Richard Oliver Gross
EN,In which year was Wellington Cenotaph completed?,1931
FR,Qui est le créateur de Wellington Cenotaph?,Richard Oliver Gross
FR,En quelle année Wellington Cenotaph a-t-il été achevé?,1931
DE,Wer ist der Schöpfer von Wellington Cenotaph?,Richard Oliver Gross
DE,In welchem Jahr wurde Wellington Cenotaph fertiggestellt?,1931
TR,Wellington Cenotaph'in yaratıcısı kim?,Richard Oliver Gross
TR,Wellington Cenotaph hangi yılda tamamlandı?,1931
JA,Wellington Cenotaph の創作者は誰ですか？,Richard Oliver Gross
JA,Wellington Cenotaph は何年に完成しましたか？,1931
EN,Who is the creator of Dame Gracie Fields Statue?,Sean Hedges-Quinn
EN,In which year was Dame Gracie Fields Statue completed?,2016
FR,Qui est le créateur de Dame Gracie Fields Statue?,Sean Hedges-Quinn
FR,En quelle année Dame Gracie Fields Statue a-t-il été achevé?,2016
DE,Wer ist der Schöpfer von Dame Gracie Fields Statue?,Sean Hedges-Quinn
DE,In welchem Jahr wurde Dame Gracie Fields Statue fertiggestellt?,2016
TR,Dame Gracie Fields Statue'in yaratıcısı kim?,Sean Hedges-Quinn
TR,Dame Gracie Fields Statue hangi yılda tamamlandı?,2016
JA,Dame Gracie Fields Statue の創作者は誰ですか？,Sean Hedges-Quinn
JA,Dame Gracie Fields Statue は何年に完成しましたか？,2016
EN,Who is the creator of Crypt of the Cathedral of Christ the King in Katowice?,Joanna Piech-Kalarus
EN,In which year was Crypt of the Cathedral of Christ the King in Katowice completed?,1927
FR,Qui est le créateur de Crypt of the Cathedral of Christ the King in Katowice?,Joanna Piech-Kalarus
FR,En quelle année Crypt of the Cathedral of Christ the King in Katowice a-t-il été achevé?,1927
DE,Wer ist der Schöpfer von Crypt of the Cathedral of Christ the King in Katowice?,Joanna Piech-Kalarus
DE,In welchem Jahr wurde Crypt of the Cathedral of Christ the King in Katowice fertiggestellt?,1927
TR,Crypt of the Cathedral of Christ the King in Katowice'in yaratıcısı kim?,Joanna Piech-Kalarus
TR,Crypt of the Cathedral of Christ the King in Katowice hangi yılda tamamlandı?,1927
JA,Crypt of the Cathedral of Christ the King in Katowice の創作者は誰ですか？,Joanna Piech-Kalarus
JA,Crypt of the Cathedral of Christ the King in Katowice は何年に完成しましたか？,1927
EN,Who is the creator of Monument to Gliwice inhabitants victims of wars and totalitarianism?,Krzysztof Nitsch
EN,In which year was Monument to Gliwice inhabitants victims of wars and totalitarianism completed?,2001
FR,Qui est le créateur de Monument to Gliwice inhabitants victims of wars and totalitarianism?,Krzysztof Nitsch
FR,En quelle année Monument to Gliwice inhabitants victims of wars and totalitarianism a-t-il été achevé?,2001
DE,Wer ist der Schöpfer von Monument to Gliwice inhabitants victims of wars and totalitarianism?,Krzysztof Nitsch
DE,In welchem Jahr wurde Monument to Gliwice inhabitants victims of wars and totalitarianism fertiggestellt?,2001
TR,Monument to Gliwice inhabitants victims of wars and totalitarianism'in yaratıcısı kim?,Krzysztof Nitsch
TR,Monument to Gliwice inhabitants victims of wars and totalitarianism hangi yılda tamamlandı?,2001
JA,Monument to Gliwice inhabitants victims of wars and totalitarianism の創作者は誰ですか？,Krzysztof Nitsch
JA,Monument to Gliwice inhabitants victims of wars and totalitarianism は何年に完成しましたか？,2001
EN,Who is the creator of Michał Doliwo-Dobrowolski monument in Szczecin?,Marian Molenda
EN,In which year was Michał Doliwo-Dobrowolski monument in Szczecin completed?,2022
FR,Qui est le créateur de Michał Doliwo-Dobrowolski monument in Szczecin?,Marian Molenda
FR,En quelle année Michał Doliwo-Dobrowolski monument in Szczecin a-t-il été achevé?,2022
DE,Wer ist der Schöpfer von Michał-Doliwo-Dobrowolski-Denkmal in Stettin?,Marian Molenda
DE,In welchem Jahr wurde Michał-Doliwo-Dobrowolski-Denkmal in Stettin fertiggestellt?,2022
TR,Michał Doliwo-Dobrowolski monument in Szczecin'in yaratıcısı kim?,Marian Molenda
TR,Michał Doliwo-Dobrowolski monument in Szczecin hangi yılda tamamlandı?,2022
JA,Michał Doliwo-Dobrowolski monument in Szczecin の創作者は誰ですか？,Marian Molenda
JA,Michał Doliwo-Dobrowolski monument in Szczecin は何年に完成しましたか？,2022
EN,Who is the creator of Rzhev Memorial to Soviet Soldier?,Andrey Korobtsov
EN,In which year was Rzhev Memorial to Soviet Soldier completed?,2018
FR,Qui est le créateur de Rzhev Memorial to Soviet Soldier?,Andrey Korobtsov
FR,En quelle année Rzhev Memorial to Soviet Soldier a-t-il été achevé?,2018
DE,Wer ist der Schöpfer von Gedenkstätte des Sowjetischen Soldaten bei Rschew?,Andrey Korobtsov
DE,In welchem Jahr wurde Gedenkstätte des Sowjetischen Soldaten bei Rschew fertiggestellt?,2018
TR,Sovyet Askerinin Rzhev Anıtı'in yaratıcısı kim?,Andrey Korobtsov
TR,Sovyet Askerinin Rzhev Anıtı hangi yılda tamamlandı?,2018
JA,Rzhev Memorial to Soviet Soldier の創作者は誰ですか？,Andrey Korobtsov
JA,Rzhev Memorial to Soviet Soldier は何年に完成しましたか？,2018
EN,Who is the creator of Shepherd Gate Clock?,Charles Shepherd
EN,In which year was Shepherd Gate Clock completed?,1852
FR,Qui est le créateur de Shepherd Gate Clock?,Charles Shepherd
FR,En quelle année Shepherd Gate Clock a-t-il été achevé?,1852
DE,Wer ist der Schöpfer von Shepherd Gate Clock?,Charles Shepherd jun.
DE,In welchem Jahr wurde Shepherd Gate Clock fertiggestellt?,1852
TR,Shepherd Gate Clock'in yaratıcısı kim?,Charles Shepherd
TR,Shepherd Gate Clock hangi yılda tamamlandı?,1852
JA,Shepherd Gate Clock の創作者は誰ですか？,Charles Shepherd
JA,Shepherd Gate Clock は何年に完成しましたか？,1852
EN,Who is the creator of The Eel of Mars?,Salvatore Garau
EN,In which year was The Eel of Mars completed?,2010
FR,Qui est le créateur de The eel of Mars?,Salvatore Garau
FR,En quelle année The eel of Mars a-t-il été achevé?,2010
DE,Wer ist der Schöpfer von The Eel of Mars?,Salvatore Garau
DE,In welchem Jahr wurde The Eel of Mars fertiggestellt?,2010
TR,The Eel of Mars'in yaratıcısı kim?,Salvatore Garau
TR,The Eel of Mars hangi yılda tamamlandı?,2010
JA,The Eel of Mars の創作者は誰ですか？,サルヴァトーレ・ガラウ
JA,The Eel of Mars は何年に完成しましたか？,2010
EN,Who is the creator of Statue of Sir Frank Athelstane Swettenham?,Charles Leonard Hartwell
EN,In which year was Statue of Sir Frank Athelstane Swettenham completed?,1921
FR,Qui est le créateur de Statue of Sir Frank Athelstane Swettenham?,Charles Leonard Hartwell
FR,En quelle année Statue of Sir Frank Athelstane Swettenham a-t-il été achevé?,1921
DE,Wer ist der Schöpfer von Statue of Sir Frank Athelstane Swettenham?,Charles Leonard Hartwell
DE,In welchem Jahr wurde Statue of Sir Frank Athelstane Swettenham fertiggestellt?,1921
TR,Statue of Sir Frank Athelstane Swettenham'in yaratıcısı kim?,Charles Leonard Hartwell
TR,Statue of Sir Frank Athelstane Swettenham hangi yılda tamamlandı?,1921
JA,Statue of Sir Frank Athelstane Swettenham の創作者は誰ですか？,Charles Leonard Hartwell
JA,Statue of Sir Frank Athelstane Swettenham は何年に完成しましたか？,1921
EN,Who is the creator of La Crapaute?,Dominique Pierre
EN,In which year was La Crapaute completed?,1987
FR,Qui est le créateur de La Crapaute?,Dominique Pierre
FR,En quelle année La Crapaute a-t-il été achevé?,1987
DE,Wer ist der Schöpfer von La Crapaute?,Dominique Pierre
DE,In welchem Jahr wurde La Crapaute fertiggestellt?,1987
TR,La Crapaute'in yaratıcısı kim?,Dominique Pierre
TR,La Crapaute hangi yılda tamamlandı?,1987
JA,La Crapaute の創作者は誰ですか？,Dominique Pierre
JA,La Crapaute は何年に完成しましたか？,1987
EN,Who is the creator of Lublin–Vilnius Portal?,Benediktas Gylys Foundation
EN,In which year was Lublin–Vilnius Portal completed?,2021
FR,Qui est le créateur de Lublin–Vilnius Portal?,Benediktas Gylys Foundation
FR,En quelle année Lublin–Vilnius Portal a-t-il été achevé?,2021
DE,Wer ist der Schöpfer von Lublin–Vilnius Portal?,Benediktas Gylys Foundation
DE,In welchem Jahr wurde Lublin–Vilnius Portal fertiggestellt?,2021
TR,Lublin–Vilnius Portal'in yaratıcısı kim?,Benediktas Gylys Foundation
TR,Lublin–Vilnius Portal hangi yılda tamamlandı?,2021
JA,Lublin–Vilnius Portal の創作者は誰ですか？,Benediktas Gylys Foundation
JA,Lublin–Vilnius Portal は何年に完成しましたか？,2021
EN,Who is the creator of Vilnius-Lublin Portal?,Benediktas Gylys Foundation
EN,In which year was Vilnius-Lublin Portal completed?,2021
FR,Qui est le créateur de Vilnius-Lublin Portal?,Benediktas Gylys Foundation
FR,En quelle année Vilnius-Lublin Portal a-t-il été achevé?,2021
DE,Wer ist der Schöpfer von Vilnius-Lublin Portal?,Benediktas Gylys Foundation
DE,In welchem Jahr wurde Vilnius-Lublin Portal fertiggestellt?,2021
TR,Vilnius-Lublin Portal'in yaratıcısı kim?,Benediktas Gylys Foundation
TR,Vilnius-Lublin Portal hangi yılda tamamlandı?,2021
JA,Vilnius-Lublin Portal の創作者は誰ですか？,Benediktas Gylys Foundation
JA,Vilnius-Lublin Portal は何年に完成しましたか？,2021
EN,Who is the creator of Rietje Koane?,Hendricus van 't Veld
EN,In which year was Rietje Koane completed?,http
FR,Qui est le créateur de Rietje Koane?,Hendricus van 't Veld
FR,En quelle année Rietje Koane a-t-il été achevé?,http
DE,Wer ist der Schöpfer von Rietje Koane?,Hendricus van 't Veld
DE,In welchem Jahr wurde Rietje Koane fertiggestellt?,http
TR,Rietje Koane'in yaratıcısı kim?,Hendricus van 't Veld
TR,Rietje Koane hangi yılda tamamlandı?,http
JA,Rietje Koane の創作者は誰ですか？,Hendricus van 't Veld
JA,Rietje Koane は何年に完成しましたか？,http
EN,Who is the creator of Krystyna Bochenek Monument at Grunwaldzki Square in Katowice?,Katarzyna Fober
EN,In which year was Krystyna Bochenek Monument at Grunwaldzki Square in Katowice completed?,2022
FR,Qui est le créateur de Krystyna Bochenek Monument at Grunwaldzki Square in Katowice?,Katarzyna Fober
FR,En quelle année Krystyna Bochenek Monument at Grunwaldzki Square in Katowice a-t-il été achevé?,2022
DE,Wer ist der Schöpfer von Krystyna Bochenek Monument at Grunwaldzki Square in Katowice?,Katarzyna Fober
DE,In welchem Jahr wurde Krystyna Bochenek Monument at Grunwaldzki Square in Katowice fertiggestellt?,2022
TR,Krystyna Bochenek Monument at Grunwaldzki Square in Katowice'in yaratıcısı kim?,Katarzyna Fober
TR,Krystyna Bochenek Monument at Grunwaldzki Square in Katowice hangi yılda tamamlandı?,2022
JA,Krystyna Bochenek Monument at Grunwaldzki Square in Katowice の創作者は誰ですか？,Katarzyna Fober
JA,Krystyna Bochenek Monument at Grunwaldzki Square in Katowice は何年に完成しましたか？,2022
EN,Who is the creator of Fondation suisse?,Le Corbusier
EN,In which year was Fondation suisse completed?,1933
FR,Qui est le créateur de fondation suisse?,Le Corbusier
FR,En quelle année fondation suisse a-t-il été achevé?,1933
DE,Wer ist der Schöpfer von Fondation suisse?,Le Corbusier
DE,In welchem Jahr wurde Fondation suisse fertiggestellt?,1933
TR,Fondation suisse'in yaratıcısı kim?,Le Corbusier
TR,Fondation suisse hangi yılda tamamlandı?,1933
JA,スイス学生会館 の創作者は誰ですか？,ル・コルビュジエ
JA,スイス学生会館 は何年に完成しましたか？,1933
EN,Who is the creator of Bourbaki monument?,Frédéric Auguste Bartholdi
EN,In which year was Bourbaki monument completed?,1899
FR,Qui est le créateur de monument Bourbaki?,Auguste Bartholdi
FR,En quelle année monument Bourbaki a-t-il été achevé?,1899
DE,Wer ist der Schöpfer von Bourbaki-Denkmal?,Frédéric-Auguste Bartholdi
DE,In welchem Jahr wurde Bourbaki-Denkmal fertiggestellt?,1899
TR,Bourbaki monument'in yaratıcısı kim?,Frédéric Auguste Bartholdi
TR,Bourbaki monument hangi yılda tamamlandı?,1899
JA,Bourbaki monument の創作者は誰ですか？,フレデリク・バルトルディ
JA,Bourbaki monument は何年に完成しましたか？,1899
EN,Who is the creator of Villa Lemm?,Franz Ludwig Späth
EN,In which year was Villa Lemm completed?,1900
FR,Qui est le créateur de Villa Lemm?,Franz Ludwig Späth
FR,En quelle année Villa Lemm a-t-il été achevé?,1900
DE,Wer ist der Schöpfer von Villa Lemm?,Franz Späth
DE,In welchem Jahr wurde Villa Lemm fertiggestellt?,1900
TR,Villa Lemm'in yaratıcısı kim?,Franz Ludwig Späth
TR,Villa Lemm hangi yılda tamamlandı?,1900
JA,Villa Lemm の創作者は誰ですか？,Franz Ludwig Späth
JA,Villa Lemm は何年に完成しましたか？,1900
EN,Who is the creator of Kristek House?,Lubo Kristek
EN,In which year was Kristek House completed?,2018
FR,Qui est le créateur de Maison Kristek?,Lubo Kristek
FR,En quelle année Maison Kristek a-t-il été achevé?,2018
DE,Wer ist der Schöpfer von Kristek-Haus?,Lubo Kristek
DE,In welchem Jahr wurde Kristek-Haus fertiggestellt?,2018
TR,Kristek House'in yaratıcısı kim?,Lubo Kristek
TR,Kristek House hangi yılda tamamlandı?,2018
JA,Kristek House の創作者は誰ですか？,ルボ・クリステク
JA,Kristek House は何年に完成しましたか？,2018
EN,Who is the creator of Horse Tamers?,Peter Clodt Von Jürgensburg
EN,In which year was Horse Tamers completed?,1843
FR,Qui est le créateur de Rossebändiger?,Peter Clodt von Jürgensburg
FR,En quelle année Rossebändiger a-t-il été achevé?,1843
DE,Wer ist der Schöpfer von Rossebändiger?,Peter Clodt von Jürgensburg
DE,In welchem Jahr wurde Rossebändiger fertiggestellt?,1843
TR,Horse Tamers'in yaratıcısı kim?,Peter Clodt Von Jürgensburg
TR,Horse Tamers hangi yılda tamamlandı?,1843
JA,Horse Tamers の創作者は誰ですか？,Peter Clodt Von Jürgensburg
JA,Horse Tamers は何年に完成しましたか？,1843
EN,Who is the creator of Saint-Germain-d’Auxerre church?,Fernand Léger
EN,In which year was Saint-Germain-d’Auxerre church completed?,1703
FR,Qui est le créateur de église St-Germain-d'Auxerre?,Fernand Léger
FR,En quelle année église St-Germain-d'Auxerre a-t-il été achevé?,1703
DE,Wer ist der Schöpfer von Kirche Saint-Germain-d’Auxerre?,Fernand Léger
DE,In welchem Jahr wurde Kirche Saint-Germain-d’Auxerre fertiggestellt?,1703
TR,Saint-Germain-d’Auxerre church'in yaratıcısı kim?,Fernand Léger
TR,Saint-Germain-d’Auxerre church hangi yılda tamamlandı?,1703
JA,Saint-Germain-d’Auxerre church の創作者は誰ですか？,フェルナン・レジェ
JA,Saint-Germain-d’Auxerre church は何年に完成しましたか？,1703
EN,Who is the creator of El Peix d'Or?,Frank Gehry
EN,In which year was El Peix d'Or completed?,1992
FR,Qui est le créateur de Le Poisson?,Frank Gehry
FR,En quelle année Le Poisson a-t-il été achevé?,1992
DE,Wer ist der Schöpfer von El Peix d'Or?,Frank Gehry
DE,In welchem Jahr wurde El Peix d'Or fertiggestellt?,1992
TR,El Peix d'Or'in yaratıcısı kim?,Frank Gehry
TR,El Peix d'Or hangi yılda tamamlandı?,1992
JA,El Peix d'Or の創作者は誰ですか？,フランク・ゲーリー
JA,El Peix d'Or は何年に完成しましたか？,1992
EN,Who is the creator of The Allegory of Science and Clio?,Albert Wolff
EN,In which year was The Allegory of Science and Clio completed?,1876
FR,Qui est le créateur de The Allegory of Science and Clio?,Albert Wolff
FR,En quelle année The Allegory of Science and Clio a-t-il été achevé?,1876
DE,Wer ist der Schöpfer von Allegorie der Wissenschaft und Klio?,Albert Wolff
DE,In welchem Jahr wurde Allegorie der Wissenschaft und Klio fertiggestellt?,1876
TR,The Allegory of Science and Clio'in yaratıcısı kim?,Albert Wolff
TR,The Allegory of Science and Clio hangi yılda tamamlandı?,1876
JA,The Allegory of Science and Clio の創作者は誰ですか？,Albert Wolff
JA,The Allegory of Science and Clio は何年に完成しましたか？,1876
EN,Who is the creator of Hegel memorial?,Gustav Bläser
EN,In which year was Hegel memorial completed?,1871
FR,Qui est le créateur de Hegel memorial?,Gustav Blaeser
FR,En quelle année Hegel memorial a-t-il été achevé?,1871
